person	personLabel	university	location	organisation
http://www.wikidata.org/entity/Q380937	Erik Gustaf Geijer	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10649655	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q386449	Per Alström	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q34	http://www.wikidata.org/entity/Q1312762
http://www.wikidata.org/entity/Q401527	Bertil Lundman	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q2211	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q428467	Anna Troberg	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q54352	http://www.wikidata.org/entity/Q15279144
http://www.wikidata.org/entity/Q429017	Gustaf Oskar Andersson Malme	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10681060	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q429017	Gustaf Oskar Andersson Malme	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10681060	http://www.wikidata.org/entity/Q1420103
http://www.wikidata.org/entity/Q432895	Olof Hermelin	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q847769	http://www.wikidata.org/entity/Q204181
http://www.wikidata.org/entity/Q433354	Johan Emanuel Wikström	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q18334839	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q440196	David Enskog	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q2692715	http://www.wikidata.org/entity/Q854280
http://www.wikidata.org/entity/Q440310	Otto Nordenskjöld	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q103672	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q440310	Otto Nordenskjöld	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q103672	http://www.wikidata.org/entity/Q371522
http://www.wikidata.org/entity/Q444538	Per Daniel Amadeus Atterbom	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10726866	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q446338	Stig Strömholm	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q586179	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q447875	Lars Fredrik Nilson	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10671252	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q453594	Erik Ivar Fredholm	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1754	http://www.wikidata.org/entity/Q221645
http://www.wikidata.org/entity/Q453594	Erik Ivar Fredholm	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10546040	http://www.wikidata.org/entity/Q221645
http://www.wikidata.org/entity/Q455088	Rudolf Kjellén	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10700467	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q455088	Rudolf Kjellén	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10700467	http://www.wikidata.org/entity/Q371522
http://www.wikidata.org/entity/Q456003	Anna Tibaijuka	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q6933906	http://www.wikidata.org/entity/Q220563
http://www.wikidata.org/entity/Q456003	Anna Tibaijuka	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q6933906	http://www.wikidata.org/entity/Q557597
http://www.wikidata.org/entity/Q456456	Mathias Steuchius	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q3588743	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q468303	Anders Gustaf Ekeberg	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10519255	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q470164	Claes-Ingvar Lagerkvist	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q654299	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q478599	Carl Charlier	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10728127	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q478599	Carl Charlier	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10728127	http://www.wikidata.org/entity/Q218506
http://www.wikidata.org/entity/Q481299	Einar Gjerstad	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q25732	http://www.wikidata.org/entity/Q218506
http://www.wikidata.org/entity/Q490870	Anders Chydenius	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q738472	http://www.wikidata.org/entity/Q414481
http://www.wikidata.org/entity/Q491002	Andreas Gyldenklou	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10727789	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q1043	Carl Linnaeus	http://www.wikidata.org/entity/Q218506	http://www.wikidata.org/entity/Q927776	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q15405	Elias Magnus Fries	http://www.wikidata.org/entity/Q218506	http://www.wikidata.org/entity/Q10494613	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q15405	Elias Magnus Fries	http://www.wikidata.org/entity/Q218506	http://www.wikidata.org/entity/Q10494613	http://www.wikidata.org/entity/Q218506
http://www.wikidata.org/entity/Q15405	Elias Magnus Fries	http://www.wikidata.org/entity/Q218506	http://www.wikidata.org/entity/Q10494613	http://www.wikidata.org/entity/Q2755982
http://www.wikidata.org/entity/Q127719	Jonas Hafström	http://www.wikidata.org/entity/Q218506	http://www.wikidata.org/entity/Q1754	http://www.wikidata.org/entity/Q218506
http://www.wikidata.org/entity/Q170741	Manne Siegbahn	http://www.wikidata.org/entity/Q218506	http://www.wikidata.org/entity/Q10727452	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q170741	Manne Siegbahn	http://www.wikidata.org/entity/Q218506	http://www.wikidata.org/entity/Q10727452	http://www.wikidata.org/entity/Q218506
http://www.wikidata.org/entity/Q179493	Bertil Ohlin	http://www.wikidata.org/entity/Q218506	http://www.wikidata.org/entity/Q1018739	http://www.wikidata.org/entity/Q186285
http://www.wikidata.org/entity/Q179493	Bertil Ohlin	http://www.wikidata.org/entity/Q218506	http://www.wikidata.org/entity/Q1018739	http://www.wikidata.org/entity/Q1061504
http://www.wikidata.org/entity/Q217933	Nils Dencker	http://www.wikidata.org/entity/Q218506	http://www.wikidata.org/entity/Q2167	http://www.wikidata.org/entity/Q218506
http://www.wikidata.org/entity/Q225850	Sven Nilsson	http://www.wikidata.org/entity/Q218506	http://www.wikidata.org/entity/Q10419868	http://www.wikidata.org/entity/Q218506
http://www.wikidata.org/entity/Q277899	Frans Gustaf Emanuel Walberg	http://www.wikidata.org/entity/Q218506	http://www.wikidata.org/entity/Q2167	http://www.wikidata.org/entity/Q218506
http://www.wikidata.org/entity/Q295768	Bengt I. Samuelsson	http://www.wikidata.org/entity/Q218506	http://www.wikidata.org/entity/Q26521	http://www.wikidata.org/entity/Q219564
http://www.wikidata.org/entity/Q297907	Örjan Wikander	http://www.wikidata.org/entity/Q218506	http://www.wikidata.org/entity/Q25411	http://www.wikidata.org/entity/Q218506
