organisation,organisationLabel,location,locationLabel
http://www.wikidata.org/entity/Q546976,University of Surrey,http://www.wikidata.org/entity/Q213465,Guildford
http://www.wikidata.org/entity/Q3290496,Sahlgrenska University Hospital,http://www.wikidata.org/entity/Q25287,Gothenburg
http://www.wikidata.org/entity/Q1464114,University of Skövde,http://www.wikidata.org/entity/Q21166,Skövde
http://www.wikidata.org/entity/Q1546159,Mälardalen University College,http://www.wikidata.org/entity/Q25412,Västerås
http://www.wikidata.org/entity/Q86019561,Cardiff University School of Earth and Ocean Sciences,http://www.wikidata.org/entity/Q10690,Cardiff
http://www.wikidata.org/entity/Q1622088,University of Borås,http://www.wikidata.org/entity/Q26040,Borås
http://www.wikidata.org/entity/Q6554447,Linköping University Hospital,http://www.wikidata.org/entity/Q25413,Linköping
http://www.wikidata.org/entity/Q10411783,Q10411783,http://www.wikidata.org/entity/Q3274356,Angered
http://www.wikidata.org/entity/Q7894643,University West,http://www.wikidata.org/entity/Q54339,Trollhättan
http://www.wikidata.org/entity/Q950917,Nordic Institute for Theoretical Physics,http://www.wikidata.org/entity/Q1803674,AlbaNova
http://www.wikidata.org/entity/Q2822454,Royal Swedish Academy of Agriculture and Forestry,http://www.wikidata.org/entity/Q3646335,Vasastaden
http://www.wikidata.org/entity/Q213439,University of Virginia,http://www.wikidata.org/entity/Q123766,Charlottesville
http://www.wikidata.org/entity/Q950917,Nordic Institute for Theoretical Physics,http://www.wikidata.org/entity/Q4348917,Norra Djurgården
http://www.wikidata.org/entity/Q56247128,Cincinnati Museum of Natural History and Science,http://www.wikidata.org/entity/Q863050,Cincinnati Museum Center at Union Terminal
http://www.wikidata.org/entity/Q333886,Georgetown University,http://www.wikidata.org/entity/Q1468648,Georgetown
http://www.wikidata.org/entity/Q10686267,The Swedish Seed Association,http://www.wikidata.org/entity/Q202408,Svalöv
http://www.wikidata.org/entity/Q174570,London School of Economics and Political Science,http://www.wikidata.org/entity/Q84,London
http://www.wikidata.org/entity/Q28948579,Föreningen för kvinnans politiska rösträtt i Stockholm,http://www.wikidata.org/entity/Q1754,Stockholm
