organisation	organisationLabel	location
http://www.wikidata.org/entity/Q131262	University of Bologna	http://www.wikidata.org/entity/Q13367
http://www.wikidata.org/entity/Q131262	University of Bologna	http://www.wikidata.org/entity/Q13364
http://www.wikidata.org/entity/Q131262	University of Bologna	http://www.wikidata.org/entity/Q13369
http://www.wikidata.org/entity/Q131262	University of Bologna	http://www.wikidata.org/entity/Q29080
http://www.wikidata.org/entity/Q131262	University of Bologna	http://www.wikidata.org/entity/Q50195
http://www.wikidata.org/entity/Q131262	University of Bologna	http://www.wikidata.org/entity/Q52981
http://www.wikidata.org/entity/Q10551871	Skaraborgs sjukhus Skövde	http://www.wikidata.org/entity/Q21166
http://www.wikidata.org/entity/Q7654827	Swedish Research Council	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q7654606	Swedish Board of Agriculture	http://www.wikidata.org/entity/Q25415
http://www.wikidata.org/entity/Q10677733	National Veterinary Institute	http://www.wikidata.org/entity/Q25286
http://www.wikidata.org/entity/Q28804179	Västerbotten County Administrative Board	http://www.wikidata.org/entity/Q25579
http://www.wikidata.org/entity/Q230899	University of Manchester	http://www.wikidata.org/entity/Q18125
http://www.wikidata.org/entity/Q174158	Hebrew University of Jerusalem	http://www.wikidata.org/entity/Q1218
http://www.wikidata.org/entity/Q86021120	University of Surrey School of Veterinary Medicine	http://www.wikidata.org/entity/Q213465
http://www.wikidata.org/entity/Q174158	Hebrew University of Jerusalem	http://www.wikidata.org/entity/Q207350
http://www.wikidata.org/entity/Q1557861	University of Évora	http://www.wikidata.org/entity/Q2652407
http://www.wikidata.org/entity/Q7581760	Spyken	http://www.wikidata.org/entity/Q2167
http://www.wikidata.org/entity/Q375606	Birkbeck, University of London	http://www.wikidata.org/entity/Q84
http://www.wikidata.org/entity/Q633078	Malmö Konsthall	http://www.wikidata.org/entity/Q2211
http://www.wikidata.org/entity/Q850730	University of Groningen	http://www.wikidata.org/entity/Q749
http://www.wikidata.org/entity/Q430594	Uppsala University Hospital	http://www.wikidata.org/entity/Q25286
http://www.wikidata.org/entity/Q10492852	Museum of Evolution of Uppsala University	http://www.wikidata.org/entity/Q25286
http://www.wikidata.org/entity/Q3330592	Lund University Historical Museum	http://www.wikidata.org/entity/Q2167
http://www.wikidata.org/entity/Q47011663	Q47011663	http://www.wikidata.org/entity/Q32253035
http://www.wikidata.org/entity/Q189441	Jagiellonian University	http://www.wikidata.org/entity/Q31487
http://www.wikidata.org/entity/Q1481050	London Business School	http://www.wikidata.org/entity/Q84
http://www.wikidata.org/entity/Q967165	University of York	http://www.wikidata.org/entity/Q42462
http://www.wikidata.org/entity/Q1711558	University of Plymouth	http://www.wikidata.org/entity/Q43382
http://www.wikidata.org/entity/Q168751	Duke University	http://www.wikidata.org/entity/Q99438089
http://www.wikidata.org/entity/Q7435613	Scotland's Rural College	http://www.wikidata.org/entity/Q23436
http://www.wikidata.org/entity/Q3330828	Zoological museum in Lund	http://www.wikidata.org/entity/Q2167
http://www.wikidata.org/entity/Q3370919	Swedish Agency for Economic and Regional Growth	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q1756541	Vytautas Magnus University	http://www.wikidata.org/entity/Q4115712
http://www.wikidata.org/entity/Q10544771	Swedish Chemicals Agency	http://www.wikidata.org/entity/Q10683761
http://www.wikidata.org/entity/Q180865	University of Toronto	http://www.wikidata.org/entity/Q172
http://www.wikidata.org/entity/Q17518896	Public Health Agency of Sweden	http://www.wikidata.org/entity/Q26515
http://www.wikidata.org/entity/Q1363442	Kulturen	http://www.wikidata.org/entity/Q2167
http://www.wikidata.org/entity/Q10635976	Swedish Polar Research Secretariat	http://www.wikidata.org/entity/Q26268
http://www.wikidata.org/entity/Q10302765	Institute for Molecular and Cell Biology	http://www.wikidata.org/entity/Q36433
http://www.wikidata.org/entity/Q795988	University of Guelph	http://www.wikidata.org/entity/Q504114
http://www.wikidata.org/entity/Q963530	University of Stirling	http://www.wikidata.org/entity/Q182923
http://www.wikidata.org/entity/Q17518896	Public Health Agency of Sweden	http://www.wikidata.org/entity/Q10673294
http://www.wikidata.org/entity/Q168426	University of Münster	http://www.wikidata.org/entity/Q1198
http://www.wikidata.org/entity/Q168426	University of Münster	http://www.wikidata.org/entity/Q2742
http://www.wikidata.org/entity/Q12975239	University of Ruhuna	http://www.wikidata.org/entity/Q13360574
http://www.wikidata.org/entity/Q245247	King's College London	http://www.wikidata.org/entity/Q84
http://www.wikidata.org/entity/Q725108	Open-air museum Skansen	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q3126873	Erasmus MC	http://www.wikidata.org/entity/Q34370
http://www.wikidata.org/entity/Q498407	University of Latvia	http://www.wikidata.org/entity/Q1773
http://www.wikidata.org/entity/Q2901382	Uppsala University Library	http://www.wikidata.org/entity/Q1044419
http://www.wikidata.org/entity/Q10550663	Kustsanatoriet Apelviken	http://www.wikidata.org/entity/Q21168
http://www.wikidata.org/entity/Q3547145	Birmingham City University	http://www.wikidata.org/entity/Q2256
http://www.wikidata.org/entity/Q49121	Harvard Medical School	http://www.wikidata.org/entity/Q100
http://www.wikidata.org/entity/Q76473	University of Southampton	http://www.wikidata.org/entity/Q79848
http://www.wikidata.org/entity/Q10658535	National Board of Forensic Medicine	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q2983328	Swedish Meteorological and Hydrological Institute	http://www.wikidata.org/entity/Q25724
http://www.wikidata.org/entity/Q1622088	University of Borås	http://www.wikidata.org/entity/Q26040
http://www.wikidata.org/entity/Q1388689	Örebro University Hospital	http://www.wikidata.org/entity/Q25732
http://www.wikidata.org/entity/Q18288613	Queen Silvia Children's Hospital	http://www.wikidata.org/entity/Q25287
http://www.wikidata.org/entity/Q10717657	Värmland County museum	http://www.wikidata.org/entity/Q25457
http://www.wikidata.org/entity/Q7894643	University West	http://www.wikidata.org/entity/Q54339
http://www.wikidata.org/entity/Q2002520	University of the West of England, Bristol	http://www.wikidata.org/entity/Q5502687
http://www.wikidata.org/entity/Q272576	Çanakkale Onsekiz Mart University	http://www.wikidata.org/entity/Q199712
http://www.wikidata.org/entity/Q1134606	Massey University	http://www.wikidata.org/entity/Q5455633
http://www.wikidata.org/entity/Q546976	University of Surrey	http://www.wikidata.org/entity/Q213465
http://www.wikidata.org/entity/Q270222	Michigan State University	http://www.wikidata.org/entity/Q871265
http://www.wikidata.org/entity/Q487556	University of Sydney	http://www.wikidata.org/entity/Q3130
http://www.wikidata.org/entity/Q3038944	University College of Film, Radio, Television and Theatre	http://www.wikidata.org/entity/Q1781556
http://www.wikidata.org/entity/Q119684	Malmö City Library	http://www.wikidata.org/entity/Q1192085
http://www.wikidata.org/entity/Q10650489	Swedish Government Offices	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q1246991	Stockholm Public Library	http://www.wikidata.org/entity/Q94385
http://www.wikidata.org/entity/Q1246991	Stockholm Public Library	http://www.wikidata.org/entity/Q3646335
http://www.wikidata.org/entity/Q27621	Saint Petersburg State University	http://www.wikidata.org/entity/Q656
http://www.wikidata.org/entity/Q1439312	Danderyd Hospital	http://www.wikidata.org/entity/Q10593587
http://www.wikidata.org/entity/Q1129909	Lund University Library	http://www.wikidata.org/entity/Q2167
http://www.wikidata.org/entity/Q1546159	Mälardalen University College	http://www.wikidata.org/entity/Q25412
http://www.wikidata.org/entity/Q9361026	Ramlösa hälsobrunn	http://www.wikidata.org/entity/Q1445185
http://www.wikidata.org/entity/Q10411783	Q10411783	http://www.wikidata.org/entity/Q3274356
http://www.wikidata.org/entity/Q86019561	Cardiff University School of Earth and Ocean Sciences	http://www.wikidata.org/entity/Q10690
http://www.wikidata.org/entity/Q28948579	Föreningen för kvinnans politiska rösträtt i Stockholm	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q213439	University of Virginia	http://www.wikidata.org/entity/Q123766
http://www.wikidata.org/entity/Q333886	Georgetown University	http://www.wikidata.org/entity/Q1468648
http://www.wikidata.org/entity/Q664846	National Cancer Institute	http://www.wikidata.org/entity/Q390551
http://www.wikidata.org/entity/Q7889516	United States Army Research Laboratory	http://www.wikidata.org/entity/Q755153
http://www.wikidata.org/entity/Q10677666	Swedish Agency for Health Technology Assessment and Assessment of Social Services	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q189022	Imperial College London	http://www.wikidata.org/entity/Q7517190
http://www.wikidata.org/entity/Q189022	Imperial College London	http://www.wikidata.org/entity/Q86088281
http://www.wikidata.org/entity/Q189022	Imperial College London	http://www.wikidata.org/entity/Q86113860
http://www.wikidata.org/entity/Q189022	Imperial College London	http://www.wikidata.org/entity/Q86114776
http://www.wikidata.org/entity/Q1558323	Swedish School of Sport and Health Sciences	http://www.wikidata.org/entity/Q4348917
http://www.wikidata.org/entity/Q81174	Jesus College	http://www.wikidata.org/entity/Q34217
http://www.wikidata.org/entity/Q193196	University College London	http://www.wikidata.org/entity/Q84
http://www.wikidata.org/entity/Q1558323	Swedish School of Sport and Health Sciences	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q193196	University College London	http://www.wikidata.org/entity/Q150120
http://www.wikidata.org/entity/Q978464	Natural History Museum of Denmark	http://www.wikidata.org/entity/Q367402
http://www.wikidata.org/entity/Q1432914	Rörstrand	http://www.wikidata.org/entity/Q3646335
http://www.wikidata.org/entity/Q3151942	Lille institute for electronics micro-electronics and nanotechnologies	http://www.wikidata.org/entity/Q2974822
http://www.wikidata.org/entity/Q7437625	Scottish Association for Marine Science	http://www.wikidata.org/entity/Q391948
http://www.wikidata.org/entity/Q7437625	Scottish Association for Marine Science	http://www.wikidata.org/entity/Q935702
http://www.wikidata.org/entity/Q537526	Dalarna University	http://www.wikidata.org/entity/Q26509
http://www.wikidata.org/entity/Q160302	University of Edinburgh	http://www.wikidata.org/entity/Q23436
http://www.wikidata.org/entity/Q823917	University of Sheffield	http://www.wikidata.org/entity/Q42448
http://www.wikidata.org/entity/Q195668	Queen Mary University of London	http://www.wikidata.org/entity/Q84
http://www.wikidata.org/entity/Q932411	Brunel University	http://www.wikidata.org/entity/Q84
http://www.wikidata.org/entity/Q932411	Brunel University	http://www.wikidata.org/entity/Q3552816
http://www.wikidata.org/entity/Q1138080	Coventry University	http://www.wikidata.org/entity/Q6225
