location	locationLabel	countryLabel
http://www.wikidata.org/entity/Q242710	Guidonia Montecelio	Italy
http://www.wikidata.org/entity/Q242533	Civitavecchia	Italy
http://www.wikidata.org/entity/Q271411	Malindi	Kenya
http://www.wikidata.org/entity/Q243116	Nettuno	Italy
http://www.wikidata.org/entity/Q116592	Cassino	Italy
http://www.wikidata.org/entity/Q241744	Ariccia	Italy
http://www.wikidata.org/entity/Q241791	Bracciano	Italy
http://www.wikidata.org/entity/Q242553	Colleferro	Italy
http://www.wikidata.org/entity/Q13396	Rieti	Italy
http://www.wikidata.org/entity/Q13450	Isernia	Italy
http://www.wikidata.org/entity/Q490	Milan	Italy
http://www.wikidata.org/entity/Q10496093	Fjärdingen	Sweden
http://www.wikidata.org/entity/Q13410	Latina	Italy
http://www.wikidata.org/entity/Q243172	Pomezia	Italy
http://www.wikidata.org/entity/Q128065	Cisterna di Latina	Italy
http://www.wikidata.org/entity/Q221900	Pozzilli	Italy
http://www.wikidata.org/entity/Q13413	Frosinone	Italy
http://www.wikidata.org/entity/Q13395	Viterbo	Italy
http://www.wikidata.org/entity/Q128089	Gaeta	Italy
http://www.wikidata.org/entity/Q3090863	Headington	United Kingdom
http://www.wikidata.org/entity/Q604283	Coffs Harbour	Australia
http://www.wikidata.org/entity/Q207639	Chichester	United Kingdom
http://www.wikidata.org/entity/Q939389	Skara	Sweden
http://www.wikidata.org/entity/Q54109	United States Capitol	United States of America
http://www.wikidata.org/entity/Q2337907	John Adams Building	United States of America
http://www.wikidata.org/entity/Q109036	Haugesund	Norway
http://www.wikidata.org/entity/Q3161243	James Madison Memorial Building	United States of America
http://www.wikidata.org/entity/Q2615945	Thomas Jefferson Building	United States of America
http://www.wikidata.org/entity/Q693628	Wilmersdorf	Germany
http://www.wikidata.org/entity/Q3297936	Foxhall	United States of America
http://www.wikidata.org/entity/Q2019662	Foggy Bottom	United States of America
http://www.wikidata.org/entity/Q4666835	Abercromby Square	United Kingdom
