personLabel,universityLabel,organisationLabel
Lars Rask,Uppsala University,Uppsala University
Sigurd Ribbing,Uppsala University,Uppsala University
Rolf Santesson,Uppsala University,Swedish Museum of Natural History
Rolf Santesson,Uppsala University,Uppsala University
Eberhard Rosenblad,Uppsala University,Lund University
Ioannis Kallinikos,Uppsala University,London School of Economics and Political Science
Carl Yngve Sahlin,Uppsala University,Lund University
Erik Rooth,Uppsala University,Lund University
Ioannis Kallinikos,Uppsala University,University of Bologna
Gunnar Samuelsson,Uppsala University,Swedish Museum of Natural History
Axel Romdahl,Uppsala University,University of Gothenburg
Otto Pettersson,Uppsala University,Stockholm University
John Reenstierna,Uppsala University,Karolinska Institute
Gunnar Samuelsson,Uppsala University,Uppsala University
Ioannis Kallinikos,Uppsala University,Uppsala University
Ulf Swenson,Uppsala University,Lund University
Henrik Sandblad,Uppsala University,University of Gothenburg
Adolph Phalén,Uppsala University,Uppsala University
Jerker Porath,Uppsala University,Uppsala University
Erland Lagerlöf,Uppsala University,Lund University
Ioannis Kallinikos,Uppsala University,Linnaeus University
Ulf Rosenhall,Uppsala University,Karolinska Institute
Bengt Rånby,Uppsala University,Royal Institute of Technology
Martin Johansson,Uppsala University,Uppsala University
Anders Lundström,Uppsala University,Karolinska Institute
Wlodek Rabinowicz,Uppsala University,Uppsala University
Q6166356,Uppsala University,Uppsala University
Björn Engquist,Uppsala University,Royal Institute of Technology
Oscar Levertin,Uppsala University,Stockholm University
Lennart Olsson,Uppsala University,University of Jena
Carl Piper,Uppsala University,Uppsala University
Clas Theodor Odhner,Uppsala University,Uppsala University
Johannes Steuchius,Uppsala University,Lund University
Johan Peter Falck,Uppsala University,Saint Petersburg Academy of Sciences
Hans Rosling,Uppsala University,Uppsala University
Johan Afzelius,Uppsala University,Uppsala University
Johan Wilcke,Uppsala University,Stockholm University
Bengt Danielsson,Uppsala University,Museum of Ethnography
Axel Hägerström,Uppsala University,Uppsala University
Clas Theodor Odhner,Uppsala University,Lund University
Lena Sommestad,Uppsala University,Uppsala University
Olof Swartz,Uppsala University,Karolinska Institute
Christopher Jacob Boström,Uppsala University,Uppsala University
Gustaf Aulén,Uppsala University,Uppsala University
Carl Axel Magnus Lindman,Uppsala University,Swedish Museum of Natural History
Carl Axel Magnus Lindman,Uppsala University,Uppsala University
Knut Ångström,Uppsala University,Uppsala University
Arne Beurling,Uppsala University,Uppsala University
Sven Delblanc,Uppsala University,Uppsala University
Karl Oskar Medin,Uppsala University,Karolinska Institute
Sigurd Agrell,Uppsala University,Lund University
Bert Bolin,Uppsala University,Stockholm University
Gustaf Aulén,Uppsala University,Lund University
Johan Ihre,Uppsala University,Uppsala University
Lars Stigzelius,Uppsala University,Uppsala University
Veit Wittrock,Uppsala University,Uppsala University
Hugo von Zeipel,Uppsala University,Uppsala University
Olof Rudbeck the Younger,Uppsala University,Uppsala University
Jesper Swedberg,Uppsala University,Uppsala University
Henric Benzelius,Uppsala University,Lund University
